0010_2015-02-06_05:56:02_0:00,2015-02-06 05:55:12.943441,2927400622,1,0.45
0010_2015-02-06_05:56:02_0:00,2015-02-06 05:55:29.830840,2927400622,-1,0.45
0010_2015-02-06_05:56:02_0:00,2015-02-06 05:55:32.706062,2927400622,-1,0.45
0010_2015-02-06_05:56:02_0:00,2015-02-06 05:56:18.795900,2927400622,1,0.45
0010_2015-02-06_05:56:59_0:00,2015-02-06 05:56:24.330387,3418300209,1,0.5
0010_2015-02-06_05:56:35_0:00,2015-02-06 05:56:35.109942,7192100337,1,0.61
0010_2015-02-06_05:56:35_0:00,2015-02-06 05:56:41.204133,7192100337,1,0.61
0010_2015-02-06_05:56:35_0:00,2015-02-06 05:57:04.377462,8438095824,1,0.7
0010_2015-02-06_05:56:35_0:00,2015-02-06 05:57:16.591121,8438095824,1,0.7
0010_2015-02-06_05:58:21_0:00,2015-02-06 05:58:00.569734,4112963250,1,1.0
0010_2015-02-06_05:58:21_0:00,2015-02-06 05:58:02.857684,2780000506,1,1.39
0010_2015-02-06_05:58:21_0:00,2015-02-06 05:58:12.139402,2840002796,1,0.05
0010_2015-02-06_05:59:44_0:00,2015-02-06 05:59:46.491867,0007958012,1,1.29
0010_2015-02-06_05:59:44_0:00,2015-02-06 06:00:03.022887,1029028853,1,1.19
0010_2015-02-06_05:59:44_0:00,2015-02-06 06:00:08.846891,7336906051,1,1.89
0010_2015-02-06_05:59:44_0:00,2015-02-06 06:00:10.307837,2840002796,1,0.05
0010_2015-02-06_06:15:24_0:00,2015-02-06 06:14:42.480762,2927400622,-1,0.45
0010_2015-02-06_06:15:24_0:00,2015-02-06 06:14:57.095635,2927400622,1,0.45
0010_2015-02-06_06:15:24_0:00,2015-02-06 06:15:07.193785,2927400622,1,0.45
0010_2015-02-06_06:15:24_0:00,2015-02-06 06:15:07.357087,8438095824,1,0.7
0010_2015-02-06_06:15:24_0:00,2015-02-06 06:15:12.637311,2927400622,1,0.45
0010_2015-02-06_06:15:24_0:00,2015-02-06 06:15:30.566457,7192100337,1,0.61
0010_2015-02-06_06:15:24_0:00,2015-02-06 06:15:33.311004,8438095824,1,0.7
0010_2015-02-06_06:17:42_0:00,2015-02-06 06:17:34.224575,4182004066,390,0.69
0010_2015-02-06_06:17:42_0:00,2015-02-06 06:17:55.247155,2047346918,1,0.79
0010_2015-02-06_06:19:29_0:00,2015-02-06 06:18:18.382465,0003477104,1,0.99
0010_2015-02-06_06:19:29_0:00,2015-02-06 06:18:38.763952,2840002796,1,0.05
0010_2015-02-06_06:19:29_0:00,2015-02-06 06:18:57.999042,0003477104,1,0.99
0010_2015-02-06_06:18:33_0:00,2015-02-06 06:19:01.414499,5194370080,1,2.69
0010_2015-02-06_06:19:29_0:00,2015-02-06 06:19:06.492727,2840002796,1,0.05
0010_2015-02-06_06:20:44_0:00,2015-02-06 06:20:07.374245,2840002796,1,0.05
0010_2015-02-06_06:20:44_0:00,2015-02-06 06:20:09.168220,7268000622,1,0.75
0010_2015-02-06_06:20:44_0:00,2015-02-06 06:20:10.074355,7268000622,1,0.75
0010_2015-02-06_06:20:44_0:00,2015-02-06 06:20:24.169390,4300000287,1,1.25
0010_2015-02-06_06:20:44_0:00,2015-02-06 06:20:24.708186,2840002796,1,0.05
0010_2015-02-06_06:20:44_0:00,2015-02-06 06:20:27.536822,0000004011,1,1.25
0010_2015-02-06_06:20:44_0:00,2015-02-06 06:20:40.072521,2840002796,1,0.05
0010_2015-02-06_06:20:44_0:00,2015-02-06 06:20:42.624327,2840002796,1,0.05
0010_2015-02-06_06:20:44_0:00,2015-02-06 06:20:49.746162,7283007008,1,1.25
0010_2015-02-06_06:20:44_0:00,2015-02-06 06:21:11.638304,7268000622,1,0.75
0010_2015-02-06_06:24:44_0:00,2015-02-06 06:25:00.890851,9899780714,4,0.99
